"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"9315","Libra Clothing Limited","2014-15","50,000","1,000,000",0,"Northern Ireland","Belfast",14132,"Manufacturing","Cedar House","BT3 9JB"
"9316","AppAttic Ltd.","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","46 Hill Street","BT1 2LB"
"9317","Boudoir Boutique","2014-15","15,000","15,000",0,"Northern Ireland","Derry City and Strabane",46160,"Wholesale & Retail Trade & Repair of Vehicles","28 Carlisle Road","BT48 6JW"
"9318","Detacol Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","3 Rocky Road","BT6 9QL"
"9319","NIICE Ltd","2014-15","40,000","40,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","1 Exchange Place","BT1 2NA"
"9320","Acoustic Fire Seal Ltd","2015-16","15,000","15,000",0,"Northern Ireland","Belfast",84250,"Public Administration & Defence; Compulsory Social Security","Caernarvon House","BT7 1DQ"
"9321","IOLABS Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities","Block 12 Apt 23","BT3 9FH"
"9322","Newzmonkeys Limited","2014-15","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",58210,"Information & Communication","Unit 3 Greenbank Industrial estate","BT34 2QX"
"9323","National Building Services","2015-16","30,000","30,000",0,"Northern Ireland","Newry, Mourne and Down",43999,"Construction","3 Linenhall House","BT35 6PH"
"9324","Maisy Boutique Limited","2015-16","5,000","5,000",0,"Northern Ireland","Newry, Mourne and Down",14190,"Manufacturing","Unit 12 Flurrybridge Business Park","BT35 8SQ"
"9325","Sonic Academy Ltd","2015-16","8,400","8,400",0,"Northern Ireland","Ards and North Down",59112,"Information & Communication","5 Downshire Park","BT20 3TP"
"9326","Go walk Talk","2014-15","40,000","40,000",0,"Northern Ireland","Derry City and Strabane",62012,"Information & Communication","The Innovation Centre","BT48 7TG"
"9327","Redman Solicitors Limited","2014-15","15,000","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",69102,"Professional, Scientific & Technical Activities","15 Windsor Avenue","BT67 9BG"
"9328","Design Space Ireland","2015-16","15,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",0,"X Unknown","Design Space Ireland","BT35 6PH"
"9329","Inflyte Limited","2014-15","150,000","150,000",0,"Northern Ireland","Lisburn and Castlereagh",62020,"Information & Communication","2 Woodstock Link","BT6 8DD"
"9330","SNE Wholesale","2015-16","10,000","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",27510,"Manufacturing","30 The Golf Links","BT62 3BY"
"9331","App A Map Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","51 Malone Road","BT9 6RY"
"9332","Flyte Technologies Limited","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","Ormeau Baths","BT2 8HS"
"9333","RS Standards Limited","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",84130,"Public Administration & Defence; Compulsory Social Security","Forsyth House","BT2 8LA"
"9334","Chain","2014-15","10,000","10,000",0,"Northern Ireland","Lisburn and Castlereagh",0,"X Unknown","4 Beech Crescent","BT28 2DY"
"9335","Protosonic Limited","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",26110,"Manufacturing","29 Orangefield Avenue","BT5 6DG"
"9336","Name cannot be released","2015-16","13,000","13,000",0,"Northern Ireland","Mid Ulster",0,"X Unknown",NA,NA
"9337","Name cannot be released","2015-16","7,800","7,800",0,"Northern Ireland","Derry City and Strabane",0,"X Unknown",NA,NA
"9338","Arc Net","2014-15","40,000","40,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","Scottish Provident Buildings","BT1 6JH"
"9339","Cosensa Learning and Development Limited","2014-15","20,000","20,000",0,"Northern Ireland","Belfast",85410,"Education","64 Donegal Street","BT1 2GT"
"9340","Name cannot be released","2015-16","25,000","25,000",0,"Northern Ireland","Newry, Mourne and Down",47789,"Wholesale & Retail Trade & Repair of Vehicles",NA,NA
"9341","Pingster Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Antrim and Newtownabbey",58200,"Information & Communication","Ceased Trading",NA
"9342","TeamFeePay","2014-15","10,000","10,000",0,"Northern Ireland","Antrim and Newtownabbey",62011,"Information & Communication","Office 0-22","BT12 7DG"
"9343","AMK Hardware Limited","2015-16","150,000","300,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",16210,"Manufacturing","14 Robert Street","BT66 8BE"
"9344","AMK Hardware Limited","2017-18","175,000","350,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",16210,"Manufacturing","14 Robert Street","BT66 8BE"
"9345","Keep in Touch","2015-16","8,800","8,800",0,"Northern Ireland","Belfast",0,"X Unknown","66 Myrtlefield Park","BT9 6NG"
"9346","Brainwavebank Ltd","2014-15","40,000","40,000",0,"Northern Ireland","Belfast",72200,"Professional, Scientific & Technical Activities","32-36 Dublin Road","BT2 7HN"
"9347","Brainwavebank Ltd","2015-16","250,000","250,000",0,"Northern Ireland","Belfast",72200,"Professional, Scientific & Technical Activities","32-36 Dublin Road","BT2 7HN"
"9348","Sixty-5","2014-15","10,000","10,000",0,"Northern Ireland","Mid Ulster",28302,"Manufacturing","Farset Labs","BT12 5GH"
"9349","Ivea Labs","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","63 University Road","BT7 1NF"
"9350","Button Farm Mushrooms Limited","2014-15","100,000","1,700,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",10390,"Manufacturing","Ceased Trading",NA
"9351","DGR Audio Designs","2015-16","15,000","15,000",0,"Northern Ireland","Mid Ulster",26110,"Manufacturing","8-9  Scotch Street Centre","BT70 1AR"
"9352","Name cannot be released","2015-16","8,500","8,500",0,"Northern Ireland","Newry, Mourne and Down",0,"X Unknown",NA,NA
"9353","Holohans Pantry Limited","2015-16","15,000","15,000",0,"Northern Ireland","Belfast",56101,"Accommodation & Food Service Activities","University Road","BT7 1ND"
"9354","Name cannot be released","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",0,"X Unknown",NA,NA
"9355","Test Your Drink Ltd","2015-16","9,300","9,300",0,"Northern Ireland","Derry City and Strabane",72110,"Professional, Scientific & Technical Activities","Unit 3B Springtown Industrial Estate","BT48 0LY"
"9356","Chique Sport Limited","2015-16","10,000","10,000",0,"Northern Ireland","Causeway Coast and Glens",46420,"Wholesale & Retail Trade & Repair of Vehicles","10 Castlewood Avenue","BT52 1JR"
"9357","Smart-Ventilation Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Ards and North Down",28250,"Manufacturing","16 Park Drive","BT18 9LW"
"9358","Makematic Ltd","2015-16","9,600","9,600",0,"Northern Ireland","Derry City and Strabane",58210,"Information & Communication","The Annex","BT48 6JG"
"9359","Orca Money","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",63990,"Information & Communication","18 Ormeau Avenue","BT2 8HS"
"9360","Yedup Limited","2015-16","8,050","8,050",0,"Northern Ireland","Lisburn and Castlereagh",58200,"Information & Communication","47A Deramore Park","BT9 5JX"
"9361","SureCert","2014-15","40,000","40,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","The Innovation Centre","BT3 9DT"
"9362","Thrive CSR","2015-16","10,000","10,000",0,"Northern Ireland","Ards and North Down",62012,"Information & Communication","1 Woodbank Lane","BT18 0LG"
"9363","5NINES","2014-15","500,000","1,000,000",0,"Great Britain","Belfast",63110,"Information & Communication","138 University Street","BT7 1HH"
"9364","JJ Cavanagh","2015-16","10,000","10,000",0,"Northern Ireland","Mid Ulster",1490,"Agriculture, Forestry & Fishing","Limehill Road","BT70 2RX"
"9365","Online Auction Sales","2015-16","10,000","10,000",0,"Northern Ireland","Ards and North Down",47990,"Wholesale & Retail Trade & Repair of Vehicles","The Spires Crescent","BT23 6UQ"
"9366","Shine Services Cleaning","2014-15","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",81299,"Admin & Support Service Activities","29 Hawood Way","BT34 4BF"
"9367","Phizzy Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",96040,"Other Service Activities","Ceased Trading",NA
"9368","SafeDig","2014-15","10,000","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",0,"X Unknown","Whitehall Gate","BT67 0GQ"
"9369","Signifyni Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Lisburn and Castlereagh",61900,"Information & Communication","Oakmount House","BT27 4TZ"
"9370","TrippFish Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",0,"X Unknown","Ceased Trading",NA
"9371","MCG Mobility","2014-15","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",28990,"Manufacturing","48D Drumard Road","BT51 5TL"
"9372","Campbells Bar","2015-16","9,500","9,500",0,"Northern Ireland","Derry City and Strabane",56302,"Accommodation & Food Service Activities","62 Spencer Road","BT47 6AA"
"9373","Uleska Ltd","2015-16","8,900","8,900",0,"Northern Ireland","Mid Ulster",80200,"Admin & Support Service Activities","Ulster Bank Accelerator Hub","BT1 5UB"
"9374","Live a Life Less Ordinary","2015-16","8,850","8,850",0,"Northern Ireland","Ards and North Down",70229,"Professional, Scientific & Technical Activities","9 Croft Park","BT18 0PF"
"9375","Trachy PEP Therapy","2015-16","7,500","7,500",0,"Northern Ireland","Mid and East Antrim",0,"X Unknown","Sandhurst Manor","BT42 1FG"
"9376","Finishing Touches","2015-16","7,000","7,000",0,"Northern Ireland","Mid Ulster",47760,"Wholesale & Retail Trade & Repair of Vehicles","15 William Street","BT70 1DX"
"9377","Physique Face & Body Studio","2014-15","7,000","7,000",0,"Northern Ireland","Fermanagh and Omagh",93130,"Arts, Entertainment & Recreation","9 Fairgreen Street","BT94 1FD"
"9378","Little Pizza Garvagh","2015-16","6,500","6,500",0,"Northern Ireland","Causeway Coast and Glens",56103,"Accommodation & Food Service Activities","81 Main Street","BT51 5AB"
"9379","Children's Music Academy","2015-16","6,000","6,000",0,"Northern Ireland","Lisburn and Castlereagh",85600,"Education","174C Saintfield Road","BT27 6UG"
"9380","Gemini Beauty Studio","2015-16","5,000","5,000",0,"Northern Ireland","Lisburn and Castlereagh",96020,"Other Service Activities","Fountain Crescent","BT28 3WB"
"9381","Yak Shak","2015-16","5,000","5,000",0,"Northern Ireland","Belfast",47890,"Wholesale & Retail Trade & Repair of Vehicles","22 Glanleam Drive","BT15 3FN"
"9382","Paula's Traditional Fish & Chips","2014-15","5,000","5,000",0,"Northern Ireland","Newry, Mourne and Down",56103,"Accommodation & Food Service Activities","24 Bridge Street","BT34 3BG"
"9383","Value Coaches Ltd","2015-16","5,000","5,000",0,"Northern Ireland","Lisburn and Castlereagh",49319,"Wholesale & Retail Trade & Repair of Vehicles","12 Riverside Court","BT29 4DS"
"9384","Name cannot be released","2015-16","2,500","2,500",0,"Northern Ireland","Belfast",0,"X Unknown",NA,NA
"9385","Name cannot be released","2015-16","1,500","1,500",0,"Northern Ireland","Belfast",0,"X Unknown",NA,NA
"9386","Belfast City Auctions Limited","2015-16","250,000","500,000",0,"Northern Ireland","Lisburn and Castlereagh",46190,"Wholesale & Retail Trade & Repair of Vehicles","10 Comber Road","BT8 8AN"
"9387","Click Energy","2015-16","250,000","750,000",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply","T/A Click Energy","BT48 7NR"
"9388","Curran Court Hotel","2015-16","150,000","1,200,000",0,"Northern Ireland","Mid and East Antrim",55100,"Accommodation & Food Service Activities","6 Redlands Road","BT40 1FD"
"9389","TST Transport Ltd","2014-15","125,000","450,000",0,"Northern Ireland","Causeway Coast and Glens",49410,"Transportation & Storage","3 Ballyweeny Road","BT44 9JG"
"9390","TST Transport Ltd","2015-16","50,000","100,000",0,"Northern Ireland","Causeway Coast and Glens",49410,"Transportation & Storage","3 Ballyweeny Road","BT44 9JG"
"9391","Alufix UK Ltd","2014-15","100,000","200,000",0,"Northern Ireland","Belfast",43999,"Construction","Unit 3","BT6 9FH"
"9392","Bonds Jewellers Ltd","2015-16","50,000","50,000",0,"Northern Ireland","Causeway Coast and Glens",47770,"Wholesale & Retail Trade & Repair of Vehicles","24 Church Street","BT52 1AR"
"9393","MTS Scotland Ltd","2015-16","50,000","50,000",0,"Northern Ireland","Newry, Mourne and Down",49390,"Transportation & Storage","Crawfordstown Road","BT24 8LZ"
"9394","PG Chips","2015-16","50,000","50,000",0,"Northern Ireland","Mid Ulster",56103,"Accommodation & Food Service Activities","9 Dungannon Street","BT71 7SH"
"9395","Name cannot be released","2014-15","40,000","40,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",86900,"Human & Social Work Activities",NA,NA
"9396","KC Skip Hire","2014-15","40,000","40,000",0,"Northern Ireland","Newry, Mourne and Down",77320,"Admin & Support Service Activities","81 Crossgar Road","BT30 9SX"
"9397","OK Windows Ltd","2015-16","35,000","35,000",0,"Northern Ireland","Belfast",43999,"Construction","Ceased Trading",NA
"9398","LMC Consulting","2015-16","30,000","30,000",0,"Northern Ireland","Lisburn and Castlereagh",70229,"Professional, Scientific & Technical Activities","88 Carryduff Road","BT27 6YL"
"9399","Pitstop Spares","2014-15","30,000","30,000",0,"Northern Ireland","Belfast",45320,"Wholesale & Retail Trade & Repair of Vehicles","2-8 Brown Square","BT13 2BW"
"9400","Supreme Fuels & Tyre Centre A52","2014-15","30,000","30,000",0,"Northern Ireland","Belfast",45320,"Wholesale & Retail Trade & Repair of Vehicles","1010 Crumlin Road","BT14 8FH"
"9401","Allison Electrical Contracts Ltd","2015-16","25,000","25,000",0,"Northern Ireland","Fermanagh and Omagh",43210,"Construction","10B Main Street","BT79 9AY"
"9402","Carrigagh Limited","2014-15","25,000","25,000",0,"Northern Ireland","Belfast",93290,"Arts, Entertainment & Recreation","Kennedy Centre","BT11 9AE"
"9403","Green Isle Trading","2015-16","25,000","25,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",47190,"Wholesale & Retail Trade & Repair of Vehicles","64 Union Place","BT70 1DL"
"9404","Nibblers Fast Food Ltd","2015-16","25,000","25,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",56103,"Accommodation & Food Service Activities","25 Main Street","BT61 9PJ"
"9405","Thyme Deli","2014-15","25,000","25,000",0,"Northern Ireland","Belfast",56102,"Accommodation & Food Service Activities","11-13 Church Lane","BT1 4QN"
"9406","Wee Ba Ltd","2015-16","25,000","25,000",0,"Northern Ireland","Derry City and Strabane",56302,"Accommodation & Food Service Activities","27 Strand Road","BT48 7BJ"
"9407","Kidz Montessori Day Nursery","2015-16","22,000","22,000",0,"Northern Ireland","Derry City and Strabane",88910,"Human & Social Work Activities","Unit 1-2","BT47 3DN"
"9408","Yankee Star Grill House","2015-16","20,000","20,000",0,"Northern Ireland","Mid Ulster",56101,"Accommodation & Food Service Activities","Unit 27","BT71 4HP"
"9409","Dr AcuMed","2014-15","15,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",86900,"Human & Social Work Activities","2 Cloughmore Terrace","BT34 3HP"
"9410","Artigrass Landscaping","2014-15","15,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",81300,"Admin & Support Service Activities","337 Comber Road","BT27 6TB"
"9411","Complete Car Care Solutions","2015-16","15,000","15,000",0,"Northern Ireland","Antrim and Newtownabbey",96090,"Other Service Activities","127 Airport Road","BT29 4AB"
"9412","Currynierin Stores","2014-15","15,000","45,000",0,"Northern Ireland","Derry City and Strabane",47110,"Wholesale & Retail Trade & Repair of Vehicles","Tullymore Road","BT47 3DQ"
"9413","Revolution Fitness & Performance","2014-15","15,000","15,000",0,"Northern Ireland","Mid Ulster",93130,"Arts, Entertainment & Recreation","25 Anneter Road","BT80 0HZ"
"9414","David McIntyre Body Repairs","2015-16","15,000","15,000",0,"Northern Ireland","Causeway Coast and Glens",45200,"Wholesale & Retail Trade & Repair of Vehicles","1A Crevolea Road","BT51 4ES"
"9415","Drekko Ltd","2015-16","15,000","15,000",0,"Northern Ireland","Fermanagh and Omagh",47910,"Wholesale & Retail Trade & Repair of Vehicles","3 Mill Court","BT74 6FB"
"9416","Hybrid Fitness","2014-15","15,000","15,000",0,"Northern Ireland","Belfast",93130,"Arts, Entertainment & Recreation","26 Linenhall Street","BT2 8BG"
"9417","The Bull & Ram Restaurant","2015-16","15,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",56101,"Accommodation & Food Service Activities","93 Downpatrick Road","BT30 9TZ"
"9418","Kilsmullan Ltd","2014-15","15,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",0,"X Unknown","Knockmore Industrial Estate","BT28 2EJ"
"9419","Kilsmullan Ltd","2015-16","19,250","19,250",0,"Northern Ireland","Lisburn and Castlereagh",0,"X Unknown","Knockmore Industrial Estate","BT28 2EJ"
"9420","Linen Kitchen and Deli","2014-15","15,000","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",56101,"Accommodation & Food Service Activities","Unit 1, The Boulevard","BT32 4GJ"
"9421","Mega Pool Saver Ltd","2015-16","15,000","15,000",0,"Northern Ireland","Newry, Mourne and Down",46439,"Wholesale & Retail Trade & Repair of Vehicles","127 Dublin Road","BT34 5HE"
"9422","Montgomery Nurseries","2015-16","15,000","15,000",0,"Northern Ireland","Mid Ulster",1300,"Agriculture, Forestry & Fishing","15 Kilrea Road","BT46 5HX"
"9423","North Coast Hospitality Ltd","2014-15","15,000","55,000",0,"Northern Ireland","Causeway Coast and Glens",55400,"Accommodation & Food Service Activities","78 The Promenade","BT55 7AF"
"9424","NRS Autoparts Limited","2014-15","15,000","15,000",0,"Northern Ireland","Belfast",50300,"Transportation & Storage","Unit 4","BT17 0LT"
"9425","RK Hospitality","2014-15","15,000","15,000",0,"Northern Ireland","Mid Ulster",55300,"Accommodation & Food Service Activities","Ceased Trading",NA
"9426","The Vintage Bar","2015-16","15,000","15,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",56302,"Accommodation & Food Service Activities","Church Place","BT66 6EU"
"9427","Urban Sunbed and Leisure Limited","2015-16","15,000","15,000",0,"Northern Ireland","Mid and East Antrim",46690,"Wholesale & Retail Trade & Repair of Vehicles","3A Larne Street","BT42 3AJ"
"9428","jobsengine.com","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","10 Coolmoyne Park","BT15 5HG"
"9429","Arthurs Coffee Co Limited","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",56102,"Accommodation & Food Service Activities","Callender House","BT1 4GJ"
"9430","Asset Sentinels","2014-15","10,000","10,000",0,"Northern Ireland","Mid and East Antrim",62090,"Information & Communication","16 Weyburn Road","BT40 2RD"
"9431","Bat Authority","2015-16","10,000","10,000",0,"Northern Ireland","Ards and North Down",74901,"Professional, Scientific & Technical Activities","186 Whitechurch Road","BT22 2JZ"
"9432","Drinkogniser","2014-15","10,000","10,000",0,"Northern Ireland","Antrim and Newtownabbey",0,"X Unknown","64 Glenbank Place","BT14 8AN"
"9433","Ch4ch Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",72300,"Professional, Scientific & Technical Activities","128A Eglantine Avenue","BT9 6EU"
"9434","Cuthbert (NI) Limited","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities","Ormeau House","BT7 1SH"
"9435","E-Cigarette Club Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Lisburn and Castlereagh",47789,"Wholesale & Retail Trade & Repair of Vehicles","29 Bridge Street","BT28 1XZ"
"9436","Feature Creep (N.I.) Ltd","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",62090,"Information & Communication","24 Pembridge Court","BT4 2RW"
"9437","NI Car Finance Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",64120,"Information & Communication","85 Sydenham Road","BT3 9DJ"
"9438","Gallery Coffee Shop Ltd","2014-15","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",56102,"Accommodation & Food Service Activities","Ceased Trading",NA
"9439","Kids e-wallet","2014-15","10,000","10,000",0,"Northern Ireland","Belfast",0,"X Unknown","66 Whitehouse Park","BT37 9SQ"
"9440","Coco and Rose Beauty and Body","2014-15","10,000","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities","6 Union Arcade","BT45 5AD"
"9441","Livestock Breeding App","2015-16","10,000","10,000",0,"Northern Ireland","Fermanagh and Omagh",62012,"Information & Communication","Cannon Dale","BT78 1JT"
"9442","Mediate App","2014-15","10,000","10,000",0,"Northern Ireland","Mid and East Antrim",0,"X Unknown","50 Belfast Rd","BT38 8BT"
"9443","Rotapal.com","2015-16","10,000","10,000",0,"Northern Ireland","Belfast",86220,"Human & Social Work Activities","11-16 Donegall Square East","BT1 5UB"
"9444","Glenmore Generation Limited","2015-16","2,957,000","8,225,000",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply","11 Mill Avenue","BT82 9HE"
"9445","Name cannot be released","2015-16","69,678","139,356",0,"Northern Ireland","Newry, Mourne and Down",1470,"Agriculture, Forestry & Fishing",NA,NA
"9446","Name cannot be released","2015-16","310,000","620,000",0,"Northern Ireland","Mid Ulster",1490,"Agriculture, Forestry & Fishing",NA,NA
"9447","Name cannot be released","2015-16","315,000","630,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",1490,"Agriculture, Forestry & Fishing",NA,NA
"9448","Datactics Limited","2017-18","25,000","50,000",0,"Great Britain","Belfast",62012,"Information & Communication","Unit C1, Suite B","BT1 3LG"
"9449","Titan IC Systems Limited","2017-18","200,000","1,071,999",0,"Northern Ireland","Belfast",62010,"Information & Communication","Level 1 - Concourse 1","BT3 9DT"
"9450","Right Revenue","2017-18","249,252","249,252",0,"Northern Ireland","Newry, Mourne and Down",70229,"Professional, Scientific & Technical Activities","Unit 5","BT24 7DX"
"9451","Leak Detector Ltd","2017-18","20,000","20,000",0,"Northern Ireland","Newry, Mourne and Down",71200,"Professional, Scientific & Technical Activities","30 Lower Corrags Road","BT34 2NQ"
"9452","Equinutritive Group Limited","2017-18","15,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",10910,"Manufacturing","Unit B","BT28 2EU"
"9453","TapSOS Ltd","2017-18","25,000","5,000",0,"Northern Ireland","Antrim and Newtownabbey",62012,"Information & Communication","4 Culmeglen","BT37 0AU"
"9454","Modern Democracy Limited","2017-18","99,999","200,960",0,"Northern Ireland","Derry City and Strabane",74100,"Professional, Scientific & Technical Activities","The Innovation Centre","BT48 7TG"
"9455","Click Energy","2017-18","150,000","550,000",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply","T/A Click Energy","BT48 7NR"
"9456","Moment Health App","2017-18","50,000","50,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","41 Malone Hill Park","BT9 6RE"
"9457","Elastic Energy Software Limited","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","The Baths","BT2 8HS"
"9458","Video First Software Ltd","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",62012,"Information & Communication","72 Sandhurst Drive","BT9 5AZ"
"9459","Haru Ltd","2017-18","10,000","10,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","46 Hill Street","BT1 2LB"
"9460","The Smartlittlelunch Co. Ltd","2017-18","10,000","10,000",0,"Northern Ireland","Newry, Mourne and Down",22290,"Manufacturing","38 Bryansford Avenue","BT33 0LG"
"9461","EZY-Hitch","2017-18","10,000","10,000",0,"Northern Ireland","Mid Ulster",28290,"Manufacturing","23 Lough Fea Road","BT80 9QL"
"9462","Meteor Electrical Limited","2017-18","10,000","10,000",0,"Northern Ireland","Mid Ulster",63990,"Information & Communication","7 Corchoney Road","BT80 9HU"
"9463","Inish Education Technology Ltd","2017-18","9,285","9,285",0,"Northern Ireland","Lisburn and Castlereagh",58290,"Information & Communication","6 Ogles Grove","BT26 6RS"
"9464","MiBudi","2017-18","10,000","10,000",0,"Northern Ireland","Lisburn and Castlereagh",61900,"Information & Communication","10 Church Road","BT27 6UP"
"9465","Vibrant Talent Development","2017-18","10,000","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",70229,"Professional, Scientific & Technical Activities","42 Magherana Park","BT66 7QF"
"9466","Sub-E Software Ltd","2017-18","9,220","9,220",0,"Northern Ireland","Causeway Coast and Glens",62022,"Information & Communication","12 Vale Road","BT47 3EE"
"9467","Puresoft Ltd","2017-18","7,885","7,885",0,"Northern Ireland","Lisburn and Castlereagh",62090,"Information & Communication","27 Enterprise House","BT28 2BP"
"9468","Loyalbe Ltd","2017-18","60,000","60,000",0,"Northern Ireland","Belfast",58290,"Information & Communication","Ormeau Baths","BT2 8HS"
"9469","Reach E.P.S  Ltd","2017-18","50,000","50,000",0,"Northern Ireland","Lisburn and Castlereagh",13300,"Manufacturing","Lissue Industrial Estate","BT28 2RB"
"9470","BPR Contract Furniture","2017-18","15,000","51,000",0,"Northern Ireland","Mid Ulster",31090,"Manufacturing","60 Tullyreavy Road","BT70 3JJ"
"9471","Devlin Glazing","2017-18","30,000","30,000",0,"Northern Ireland","Mid Ulster",23190,"Manufacturing","49 Ballymulligan Road","BT45 7TT"
"9472","P.M. Fireplaces Limited","2017-18","50,000","50,000",0,"Northern Ireland","Mid Ulster",23700,"Manufacturing","Killymaddy Knox","BT70 1TZ"
"9473","Microcoms Telephone Management Ltd","2017-18","25,000","25,000",0,"Northern Ireland","Antrim and Newtownabbey",62090,"Information & Communication","1a Nutts Corner Road","BT29 4BW"
"9474","The Desk Warehouse","2017-18","30,000","30,000",0,"Northern Ireland","Belfast",46150,"Wholesale & Retail Trade & Repair of Vehicles","Owen O Cork Mill","BT5 5DX"
"9475","BLK BOX","2017-18","30,000","30,000",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation","Unit 6 Oakbank","BT3 9DT"
"9476","Struct Steel Engineering","2017-18","25,000","25,000",0,"Northern Ireland","Fermanagh and Omagh",71110,"Professional, Scientific & Technical Activities","38 Farnamullan Road","BT94 5FT"
"9477","Xpress Lifts","2017-18","20,000","20,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",32990,"Manufacturing","96 Avenue Road","BT66 7BH"
"9478","IMS Industrial Maintenance Services Limited","2017-18","20,000","20,000",0,"Northern Ireland","Derry City and Strabane",43290,"Construction","Unit 3b","BT48 0LY"
"9479","GW Engineering","2017-18","10,000","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",43999,"Construction","Unit 3a M12 Business Centre","BT63 5WQ"
"9480","LAB Aroma Ltd","2017-18","4,500","4,500",0,"Northern Ireland","Mid Ulster",20420,"Manufacturing","175 Ballygawley Road","BT70 1RX"
"9481","Hollypark House Ltd","2017-18","35,000","35,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities","Upper Church Lane","BT63 5JE"
"9482","KOKO Rose Boutique","2017-18","12,000","12,000",0,"Northern Ireland","Fermanagh and Omagh",47510,"Wholesale & Retail Trade & Repair of Vehicles","39 Blackfort Road","BT78 1PR"
"9483","Wave and Wake Ltd","2017-18","20,000","20,000",0,"Northern Ireland","Ards and North Down",47640,"Wholesale & Retail Trade & Repair of Vehicles","127 Groomsport Road","BT20 5NS"
"9484","Yellowdog Grooming","2017-18","6,500","6,500",0,"Northern Ireland","Ards and North Down",96090,"Other Service Activities","35 Innotec Drive","BT19 7PD"
