"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector","current_address_line_1","current_postcode"
"1677","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1678","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1679","Waste Systems Ltd","2014-15","99,286","330,953",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing","Ceased Trading",NA
"1680","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1681","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities",NA,NA
"1682","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities",NA,NA
"1683","Tomorrow's Training","2014-15","1,000","9,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities","1 Ailsa Villas","BT71 4JQ"
"1684","Riddell ATVs Limited","2014-15","750","1,500",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing","107 Newtownsaville Road","BT79 0BP"
"1685","Riddell ATVs Limited","2014-15","2,063","4,125",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing","107 Newtownsaville Road","BT79 0BP"
"1686","Riddell ATVs Limited","2014-15","2,824","5,648",0,"Northern Ireland","Fermanagh and Omagh",29100,"Manufacturing","107 Newtownsaville Road","BT79 0BP"
"1687","Inspire Loyalty","2014-15","1,475","2,950",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities","70 Carclinty Road","BT42 1PJ"
"1688","Cabragh Engineering Limited","2014-15","4,038","15,895",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","20 Farritor Road","BT70 1TL"
"1689","Ezystak","2014-15","35,000","260,000",7,"Northern Ireland","Mid Ulster",71121,"Professional, Scientific & Technical Activities","200 Annagher Road","BT71 5DA"
"1690","BSK Engineering Ltd","2014-15","17,400","130,000",4,"Northern Ireland","Mid Ulster",71121,"Professional, Scientific & Technical Activities","42 Tullyodonnell Road","BT70 3JE"
"1691","Sherwood Systems Limited","2014-15","90,476","180,952",0,"Northern Ireland","Belfast",62010,"Information & Communication","6 Purdy's Lane","BT8 7AR"
"1692","Lagan Cement Products Limited","2014-15","24,000","120,000",1,"Northern Ireland","Lisburn and Castlereagh",23610,"Manufacturing","11B Sheepwalk Road","BT28 3RD"
"1693","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities",NA,NA
"1694","Laser Prototypes (Europe) Limited","2014-15","25,173","83,910",0,"Northern Ireland","Belfast",22210,"Manufacturing","4 Prince Regent Road","BT5 6QR"
"1695","Raygar Ltd","2014-15","9,600","28,150",1,"Northern Ireland","Mid Ulster",32200,"Manufacturing","The Old Clubhouse","BT80 9AR"
"1696","Willsborough Biogas","2014-15","4,000","8,163",0,"Northern Ireland","Derry City and Strabane",35110,"Electricity, Gas, Steam & Air Conditioning Supply","22 Springfield Road","BT48 8JG"
"1697","Maximus Crushing & Screening Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","48 Coalisland Road","BT71 6LA"
"1698","Porta-Fill International Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","Dungannon Business Park","BT70 1RP"
"1699","Advanced Electronic Solutions Global Ltd","2014-15","14,880","37,200",1,"Northern Ireland","Mid Ulster",26301,"Manufacturing","Unit 4C Kilcronagh Industrial Estate","BT80 9HJ"
"1700","Mooney Hotel Group","2014-15","6,400","12,800",0,"Northern Ireland","Belfast",55100,"Accommodation & Food Service Activities","Wellington Park Hotel","BT9 6RU"
"1701","Principal Cooling Ltd","2014-15","42,000","400,000",6,"Northern Ireland","Mid Ulster",28250,"Manufacturing","Unit 1 Cottagequin Yard","BT71 7PG"
"1702","Beat Street Ltd","2014-15","8,700","17,400",0,"Northern Ireland","Mid and East Antrim",32200,"Manufacturing","53-55 Station Road","BT42 1BU"
"1703","MK Surface Treatment Ltd","2014-15","7,769","15,538",0,"Northern Ireland","Mid Ulster",28920,"Manufacturing","313 Drum Road","BT80 9PR"
"1704","Payescape","2014-15","63,000","336,074",7,"United States of America","Causeway Coast and Glens",62090,"Information & Communication","Unit 8 Phase 2","BT53 7LH"
"1705","Boomer Industries Limited","2014-15","41,506","125,020",1,"Northern Ireland","Lisburn and Castlereagh",22230,"Manufacturing","6 Ferguson Road","BT28 2FW"
"1706","Anderson Interiors Limited","2014-15","3,853","7,706",0,"Northern Ireland","Mid Ulster",13921,"Manufacturing","62-66 Duncrue Street","BT3 9AY"
"1707","J.K. Fabrications Limited","2014-15","94,972","471,280",14,"Northern Ireland","Newry, Mourne and Down",42910,"Construction","Carnbane Business Park","BT35 6QH"
"1708","The Tomorrow Lab Create Ltd","2014-15","3,920","8,000",0,"Northern Ireland","Belfast",62020,"Information & Communication","17 Dargan Crescent","BT3 9RP"
