"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"129","Citibank International PLC","2014-15","3,011,975",1,"United States of America","FINANCIAL&INSURANCE"
"130","James Leckey Design Limited","2014-15","74,109",1,"Northern Ireland","MANUFAC"
"131","Kainos Software Limited","2014-15","70,768",1,"Northern Ireland","INFO&COMMU"
"132","Bite to Savour","2014-15","3,520",1,"Northern Ireland","MANUFAC"
"133","Metalweb","2014-15","544,000",13,"Great Britain","MANUFAC"
"134","Guru Ping (UK) Ltd","2014-15","83,675",1,"Northern Ireland","INFO&COMMU"
"135","Alexander Mann Solutions Limited","2014-15","2,527,053",1,"Great Britain","ADMIN&SUPPORTSERVICE"
"136","Webtech (N.I.) Limited","2014-15","11,055,313",36,"Irish Republic","MANUFAC"
"137","T.G. Eakin Limited","2014-15","47,728",1,"Northern Ireland","MANUFAC"
"138","Dowlers","2014-15","34,900",1,"Northern Ireland","WHOLESALE&RETAIL"
"139","Ionology","2014-15","393,030",1,"Northern Ireland","INFO&COMMU"
"140","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"141","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"142","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"143","ExamTime Ltd","2014-15","526,522",1,"Irish Republic","INFO&COMMU"
"144","Cubis Industries","2014-15","100,678",1,"Irish Republic","MANUFAC"
"145","Atlas Fire & Security (NI) Limited","2014-15","11,000",1,"Northern Ireland","CONST"
"146","Flowlens Ltd","2014-15","83,874",1,"Northern Ireland","INFO&COMMU"
"147","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"148","Kilkeel Seafoods Ltd","2014-15","933,660",34,"Great Britain","MANUFAC"
"149","Annie's Traditional Food","2015-16","319,500",8,"Northern Ireland","MANUFAC"
"150","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"151","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"152","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"153","Catagen Limited","2014-15","791,228",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"154","Manmade","2014-15","9,000",1,"Northern Ireland","MANUFAC"
"155","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"156","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"157","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"158","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"159","Domestic Sheepskins","2014-15","78,860",1,"Northern Ireland","WHOLESALE&RETAIL"
"160","Corlin Developments Limited","2014-15","7,500",1,"Northern Ireland","CONST"
"161","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"162","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"163","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"164","Hutchinson Engineering","2014-15","286,517",1,"Northern Ireland","MANUFAC"
"165","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"166","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"167","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"168","Name cannot be released","2014-15","9,000",1,"Northern Ireland","OTHERSERVICE"
"169","MJM Group","2014-15","80,508",1,"Northern Ireland","MANUFAC"
"170","Vivomed Ltd","2014-15","65,463",1,"Northern Ireland","MANUFAC"
"171","Hyde Park Homes","2014-15","34,870",1,"Northern Ireland","MANUFAC"
"172","Global Equipment Spares Limited","2014-15","232,960",8,"Northern Ireland","MANUFAC"
"173","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"174","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"175","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"176","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"177","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"178","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"179","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"180","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"181","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"182","Name cannot be released","2014-15","10,000",1,"Northern Ireland","OTHERSERVICE"
"183","Interactive Trading Group Ltd","2014-15","73,910",1,"Northern Ireland","FINANCIAL&INSURANCE"
