"","business_name","financial_year_of_offer","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","SIC_sector"
"5369","Irwins Quality Aggregates","2016-17","93,760",3,"Northern Ireland","MANUFAC"
"5370","Ecohog Limited","2016-17","38,855",1,"Northern Ireland","MANUFAC"
"5371","Irwin's Bakery","2016-17","143,300",1,"Northern Ireland","MANUFAC"
"5372","Holmes Bakery","2016-17","280,445",2,"Northern Ireland","MANUFAC"
"5373","Cleaver Fulton Rankin Limited","2016-17","6,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5374","Kestrel Hydraulics Limited","2016-17","2,800",1,"Northern Ireland","MANUFAC"
"5375","Reynolds Sports Limited","2016-17","5,965",1,"Northern Ireland","ART&ENTER&RECREATION"
"5376","Connected Talent Limited","2016-17","176,500",5,"Northern Ireland","ART&ENTER&RECREATION"
"5377","Erne Lifting Services Ltd","2016-17","49,955",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5378","Johnston Security Ltd","2016-17","116,000",4,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5379","Taylor and Boyd","2016-17","9,020",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5380","Moffitt & Robinson Construction Ltd","2016-17","4,000",1,"Northern Ireland","CONST"
"5381","ATG Services (Ireland) Ltd","2016-17","466,284",8,"Northern Ireland","WATERSUPPLY&SEWERGE"
"5382","Indie Fude Ltd","2016-17","13,300",1,"Northern Ireland","WHOLESALE&RETAIL"
"5383","WGAB Limited","2016-17","140,100",3,"Northern Ireland","WHOLESALE&RETAIL"
"5384","Alternative Heat Limited","2016-17","17,711",1,"Northern Ireland","CONST"
"5385","Lucid Interactive Limited","2016-17","113,001",1,"Northern Ireland","INFO&COMMU"
"5386","Qubizm Limited","2016-17","12,000",1,"Northern Ireland","EDUC"
"5387","BGS Europe Limited","2016-17","12,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5388","Cadshare Technology Limited","2016-17","360,000",6,"Northern Ireland","INFO&COMMU"
"5389","EDM Spanwall Facades Ltd","2016-17","36,803",1,"Northern Ireland","MANUFAC"
"5390","SFXRAY Limited","2016-17","210,000",6,"Northern Ireland","MANUFAC"
"5391","Out There Services","2016-17","141,900",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5392","MJM Group","2017-18","2,403,397",1,"Northern Ireland","MANUFAC"
"5393","Pokertree Brewing Company Ltd","2016-17","109,600",3,"Northern Ireland","MANUFAC"
"5394","Paula L Wilson Ltd","2016-17","1,260",1,"Northern Ireland","WHOLESALE&RETAIL"
"5395","G.P.S. Colour Graphics Limited","2016-17","40,000",2,"Northern Ireland","MANUFAC"
"5396","Medizar Sanitiser Products Limited","2016-17","1,050",1,"Northern Ireland","MANUFAC"
"5397","Edgewater Contracts","2016-17","32,000",1,"Northern Ireland","MANUFAC"
"5398","Uleska Ltd","2016-17","3,000",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5399","SW Consultancy","2016-17","6,500",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5400","Clarke Millar Foods","2016-17","8,850",1,"Northern Ireland","MANUFAC"
"5401","Wilson's Country","2016-17","176,230",1,"Northern Ireland","WHOLESALE&RETAIL"
"5402","Taylor Yates Limited","2016-17","4,000",1,"Northern Ireland","MANUFAC"
"5403","Global Suspensions Limited","2016-17","48,845",2,"Northern Ireland","MANUFAC"
"5404","Repstor Limited","2016-17","92,007",1,"Northern Ireland","INFO&COMMU"
"5405","Nugent Engineering","2016-17","8,540",1,"Northern Ireland","MANUFAC"
"5406","Indie Fude Ltd","2016-17","8,748",1,"Northern Ireland","WHOLESALE&RETAIL"
"5407","Graham's Home Bakery","2016-17","9,780",1,"Northern Ireland","MANUFAC"
"5408","Clarke Millar Foods","2016-17","26,608",1,"Northern Ireland","MANUFAC"
"5409","Ramko Hydraulics Ltd","2016-17","2,500",1,"Northern Ireland","MANUFAC"
"5410","M. Clarke & Sons Contracts Limited","2016-17","2,496",1,"Northern Ireland","CONST"
"5411","Servasport Ltd","2016-17","98,898",1,"Northern Ireland","INFO&COMMU"
"5412","Acheson & Glover Limited","2016-17","126,811",1,"Northern Ireland","MANUFAC"
"5413","Enrich and Endure Limited","2016-17","72,200",3,"Northern Ireland","MANUFAC"
"5414","Geoff Wilson Consultancy","2016-17","9,100",1,"Northern Ireland","EDUC"
"5415","KCC Architectural","2016-17","5,950",1,"Irish Republic","WHOLESALE&RETAIL"
"5416","TheAppBuilder Ltd","2016-17","30,000",1,"Northern Ireland","INFO&COMMU"
"5417","Stevia Gold","2016-17","15,000",1,"Northern Ireland","MANUFAC"
"5418","KCC Architectural","2016-17","5,160",1,"Irish Republic","WHOLESALE&RETAIL"
"5419","Karen McAvoy Publishing Ltd","2016-17","247,000",6,"Northern Ireland","MANUFAC"
"5420","Sandvik Limited","2016-17","778,623",1,"Sweden","MANUFAC"
"5421","Terraquest Solutions Limited","2016-17","1,122,784",23,"Great Britain","PROFESSIONAL&SCI&TECH"
"5422","Rakuten","2016-17","1,710,000",21,"Japan","INFO&COMMU"
"5423","Anderson Mechanical Services","2016-17","8,235",1,"Northern Ireland","CONST"
"5424","Mindflood Ltd","2016-17","4,658",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5425","Carbon Catch","2016-17","118,000",5,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5426","Mourne Mountains Brewery","2016-17","259,000",5,"Northern Ireland","MANUFAC"
"5427","Hurree Limited","2016-17","10,000",1,"Northern Ireland","INFO&COMMU"
"5428","See Sense","2016-17","864,000",15,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5429","IMED (NI) Limited","2016-17","700,000",15,"Northern Ireland","MANUFAC"
"5430","Carnbrooke Meats Ltd","2017-18","114,500",5,"Northern Ireland","MANUFAC"
"5431","Oh So Lean Ltd","2016-17","168,150",4,"Northern Ireland","MANUFAC"
"5432","Lock-A-Block (N.I) Ltd","2016-17","6,730",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5433","Repstor Limited","2016-17","207,130",3,"Northern Ireland","INFO&COMMU"
"5434","Metaswitch Networks","2016-17","5,500,000",71,"Great Britain","INFO&COMMU"
"5435","Arcatech Limited","2016-17","20,000",1,"Northern Ireland","MANUFAC"
"5436","Securibar Innovation Limited","2016-17","3,600",1,"Northern Ireland","MANUFAC"
"5437","TotalMobile Solutions Ltd","2016-17","110,680",1,"Northern Ireland","INFO&COMMU"
"5438","Almac Group Limited","2016-17","98,770",1,"Northern Ireland","MANUFAC"
"5439","Unicorn Hygienics Limited","2016-17","100,000",2,"Northern Ireland","MANUFAC"
"5440","CampStead Ltd","2017-18","217,580",3,"Northern Ireland","INFO&COMMU"
"5441","LoveOlli","2016-17","10,470",1,"Northern Ireland","WHOLESALE&RETAIL"
"5442","Donite Plastics Ltd","2016-17","225,109",7,"Northern Ireland","MANUFAC"
"5443","Derry Craft Distillery Limited","2016-17","231,800",1,"Northern Ireland","MANUFAC"
"5444","TinyTours Ltd","2016-17","2,500",1,"Northern Ireland","OTHERSERVICE"
"5445","Bio-Flex Yarns Limited","2017-18","83,450",1,"Northern Ireland","HUMAN&SOCIALWORK"
"5446","Tailored Image Ltd","2016-17","443,000",8,"Northern Ireland","MANUFAC"
"5447","Giovanna Concept","2016-17","11,700",1,"Northern Ireland","MANUFAC"
"5448","Mecatec Services","2016-17","2,750",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5449","Allplay Ireland Limited","2016-17","10,050",1,"Northern Ireland","MANUFAC"
"5450","Oroson Limited","2016-17","214,216",1,"Northern Ireland","INFO&COMMU"
"5451","Classic Mineral Water Company Limited","2016-17","30,300",2,"Northern Ireland","MANUFAC"
"5452","Clarke Millar Foods","2016-17","222,500",6,"Northern Ireland","MANUFAC"
"5453","Knight Systems Ltd","2016-17","114,740",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5454","Fabplus Limited","2017-18","7,814,000",66,"Irish Republic","MANUFAC"
"5455","Rockincolour Ltd","2016-17","140,200",3,"Northern Ireland","MANUFAC"
"5456","Mallon Technology (Northern Ireland) Limited","2017-18","123,734",1,"Northern Ireland","INFO&COMMU"
"5457","ATG Services (Ireland) Ltd","2016-17","10,000",1,"Northern Ireland","WATERSUPPLY&SEWERGE"
"5458","ATG Services (Ireland) Ltd","2016-17","6,938",1,"Northern Ireland","WATERSUPPLY&SEWERGE"
"5459","Avolon Blinds","2016-17","141,000",5,"Northern Ireland","MANUFAC"
"5460","Lenalea Electronics Limited","2016-17","4,934",1,"Northern Ireland","MANUFAC"
"5461","U.M.I. Foods","2016-17","1,945",1,"Northern Ireland","MANUFAC"
"5462","Andor Technology Plc","2016-17","2,538,166",1,"Great Britain","MANUFAC"
"5463","Fusion Antibodies Plc","2016-17","19,232",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5464","Woodmarque Architectural Joinery Ltd","2016-17","496,000",9,"Northern Ireland","MANUFAC"
"5465","Asian Curries Limited","2016-17","142,000",5,"Northern Ireland","MANUFAC"
"5466","Avoniel Distillers Limited","2016-17","1,400",1,"Northern Ireland","MANUFAC"
"5467","Willis & Company (Insurance Brokers) Limited","2016-17","257,000",6,"Northern Ireland","FINANCIAL&INSURANCE"
"5468","Quad-X Ltd","2016-17","165,944",3,"Northern Ireland","MANUFAC"
"5469","3EN Cloud Ltd","2016-17","63,347",1,"Northern Ireland","INFO&COMMU"
"5470","Alternative Heat Limited","2017-18","88,722",1,"Northern Ireland","CONST"
"5471","Mash Direct Limited","2016-17","64,440",1,"Northern Ireland","MANUFAC"
"5472","Baxter Murray Ltd","2016-17","16,235",1,"Northern Ireland","MANUFAC"
"5473","Comfizone Ltd","2016-17","475,090",21,"Northern Ireland","MANUFAC"
"5474","Minprint Holdings Limited","2016-17","330,000",3,"Northern Ireland","MANUFAC"
"5475","Sensoteq","2016-17","500",1,"Northern Ireland","INFO&COMMU"
"5476","TinyTours Ltd","2016-17","5,000",1,"Northern Ireland","OTHERSERVICE"
"5477","Datum Tool Design Ltd","2016-17","61,150",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5478","Finrone Systems Limited","2016-17","5,000",1,"Northern Ireland","CONST"
"5479","Limitless Digital Solutions Limited","2016-17","15,000",2,"Northern Ireland","INFO&COMMU"
"5480","Decor Ireland","2016-17","11,495",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5481","Factory Automated Systems Technologies Limited","2016-17","1,138,000",18,"Northern Ireland","MANUFAC"
"5482","M/A-COM Technology Solutions (UK) Limited","2017-18","155,283",1,"United States of America","INFO&COMMU"
"5483","Aquababes (NI) Ltd","2016-17","15,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"5484","Complete Beverage Services","2016-17","22,890",1,"Northern Ireland","MANUFAC"
"5485","Marcomm Limited","2016-17","9,836",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5486","Rekkur (NI) Limited","2016-17","9,700",1,"Northern Ireland","MANUFAC"
"5487","O'Neill Electrics Limited","2016-17","823,000",21,"Northern Ireland","CONST"
"5488","Killyhevlin Hotel Limited","2016-17","52,000",2,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5489","RODEng Consulting LLP","2016-17","457,300",8,"Great Britain","PROFESSIONAL&SCI&TECH"
"5490","A1 Solutions (NI) Limited","2016-17","7,960",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5491","Klubfunder Limited","2016-17","294,200",6,"Northern Ireland","INFO&COMMU"
"5492","Modern Democracy Limited","2016-17","124,636",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5493","The Shed Factory","2016-17","324,000",9,"Northern Ireland","MANUFAC"
"5494","Digital DNA","2016-17","53,679",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5495","Michael Nugent Ltd","2016-17","11,958",1,"Northern Ireland","CONST"
"5496","Ardboe Coldstore Limited","2016-17","147,125",1,"Northern Ireland","MANUFAC"
"5497","Mash Direct Limited","2016-17","15,000",1,"Northern Ireland","MANUFAC"
"5498","InteleSens Ltd","2016-17","179,660",2,"Northern Ireland","HUMAN&SOCIALWORK"
"5499","Allingham Quadcrates","2016-17","278,000",5,"Northern Ireland","MANUFAC"
"5500","Static Industrial Coatings Ltd","2016-17","99,000",4,"Northern Ireland","MANUFAC"
"5501","Golden Popcorn","2016-17","160,000",1,"Northern Ireland","MANUFAC"
"5502","Drumhorc Pallets Limited","2016-17","5,150",1,"Northern Ireland","MANUFAC"
"5503","Mechanical Installations & Maintenance (N.I.) Limited","2016-17","376,643",9,"Northern Ireland","MANUFAC"
"5504","Predator Equipment Limited","2016-17","3,800",1,"Northern Ireland","MANUFAC"
"5505","Ramko Hydraulics Ltd","2016-17","1,000",1,"Northern Ireland","MANUFAC"
"5506","Denroy Plastics Limited","2016-17","365,110",1,"Northern Ireland","MANUFAC"
"5507","Predator Equipment Limited","2016-17","4,686",1,"Northern Ireland","MANUFAC"
"5508","3RD Digital Limited","2016-17","7,980",1,"Northern Ireland","INFO&COMMU"
"5509","Brookvent","2016-17","88,310",1,"Northern Ireland","MANUFAC"
"5510","Primepac Ltd","2016-17","5,500",1,"Northern Ireland","MANUFAC"
"5511","Instil Software Ltd","2016-17","125,791",1,"Northern Ireland","INFO&COMMU"
"5512","Right Revenue","2016-17","15,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5513","hpc","2016-17","2,870",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5514","3RD Digital Limited","2016-17","8,250",1,"Northern Ireland","INFO&COMMU"
"5515","Greenisland Flowers Limited","2016-17","209,800",5,"Northern Ireland","AGRI&FORESTRY&FISHING"
"5516","Screenpod","2016-17","163,400",2,"Northern Ireland","MANUFAC"
"5517","Lignum Interiors","2016-17","169,000",4,"Northern Ireland","MANUFAC"
"5518","IMED (NI) Limited","2016-17","27,200",1,"Northern Ireland","MANUFAC"
"5519","Simply Indian (Derry) Limited","2016-17","102,500",4,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5520","The Clandeboye Estate Company Limited","2016-17","109,000",1,"Northern Ireland","MANUFAC"
"5521","Ensix Turbine Services","2016-17","20,036",1,"Northern Ireland","MANUFAC"
"5522","Ecom Software Limited","2016-17","16,560",1,"Northern Ireland","INFO&COMMU"
"5523","Wood Innovations Limited","2016-17","14,479",1,"Northern Ireland","WHOLESALE&RETAIL"
"5524","Kenwell Engineering","2016-17","932,000",8,"Northern Ireland","MANUFAC"
"5525","Bopworx Limited","2016-17","13,450",1,"Northern Ireland","OTHERSERVICE"
"5526","Pop Notch Ltd","2016-17","5,100",1,"Northern Ireland","MANUFAC"
"5527","D McCloy Guns","2016-17","31,000",1,"Northern Ireland","ART&ENTER&RECREATION"
"5528","Combined Facilities Management Ltd","2016-17","3,900",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5529","Gemat Automatation","2016-17","9,250",1,"Northern Ireland","MANUFAC"
"5530","Kiverco Limited","2016-17","2,206",1,"Northern Ireland","MANUFAC"
"5531","Michael Nugent Ltd","2016-17","21,325",1,"Northern Ireland","CONST"
"5532","Eye Cove Limited","2016-17","520",1,"Northern Ireland","MANUFAC"
"5533","Pinkertons","2016-17","241,075",1,"Northern Ireland","MANUFAC"
"5534","Scott & Ewing Limited","2016-17","103,040",3,"Northern Ireland","CONST"
"5535","3RD Digital Limited","2016-17","6,000",1,"Northern Ireland","INFO&COMMU"
"5536","Heatboss","2016-17","1,000",1,"Northern Ireland","MANUFAC"
"5537","Platinum Music Ireland Limited","2016-17","86,155",3,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5538","Hurree Limited","2016-17","10,000",1,"Northern Ireland","INFO&COMMU"
"5539","Anomali","2016-17","8,266,900",79,"United States Of America","INFO&COMMU"
"5540","Denroy Plastics Limited","2016-17","81,625",1,"Northern Ireland","MANUFAC"
"5541","Ailsby","2016-17","93,000",3,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5542","Strain Engineering and Co Limited","2016-17","710,000",16,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5543","Sensoteq","2016-17","600",1,"Northern Ireland","INFO&COMMU"
"5544","Glens Of Antrim Potatoes","2016-17","14,990",1,"Northern Ireland","WHOLESALE&RETAIL"
"5545","Carey Cleaning Machines","2017-18","1,188,200",8,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5546","Knight Systems Ltd","2016-17","4,500",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5547","Anderson Interiors Limited","2016-17","30,530",1,"Northern Ireland","MANUFAC"
"5548","Orior By Design Limited","2016-17","3,600",1,"Northern Ireland","MANUFAC"
"5549","Kane Engineering Limited","2016-17","98,090",3,"Northern Ireland","MANUFAC"
"5550","CBD Powerwashers Ltd","2016-17","285,000",7,"Northern Ireland","MANUFAC"
"5551","The Grass People Ltd","2016-17","27,362",1,"Northern Ireland","AGRI&FORESTRY&FISHING"
"5552","The Yellow Door","2016-17","7,200",1,"Northern Ireland","MANUFAC"
"5553","Screenpod","2016-17","2,500",1,"Northern Ireland","MANUFAC"
"5554","Valley Hotel","2016-17","8,390",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5555","Glaze Digital Ltd","2016-17","10,000",1,"Northern Ireland","INFO&COMMU"
"5556","House of Mara","2016-17","14,000",1,"Northern Ireland","MANUFAC"
"5557","HNH Partners Limited","2016-17","369,000",7,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5558","Cleaver Fulton Rankin Limited","2016-17","4,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5559","North South Retail Ltd","2016-17","145,000",3,"Northern Ireland","WHOLESALE&RETAIL"
"5560","Hanna & Hutchinson Consulting Engineers Ltd","2016-17","3,000",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5561","Caspac","2016-17","8,850",1,"Northern Ireland","MANUFAC"
"5562","P2V Systems Limited","2016-17","16,800",1,"Northern Ireland","INFO&COMMU"
"5563","Brio Training","2016-17","2,235",1,"Northern Ireland","EDUC"
"5564","Voxbit Ltd.","2017-18","584,024",1,"Northern Ireland","INFO&COMMU"
"5565","Neueda Consulting","2016-17","76,022",1,"Northern Ireland","EDUC"
"5566","WD Meats","2016-17","244,441",1,"Northern Ireland","MANUFAC"
"5567","Woodland Kitchens (N.I.) Limited","2016-17","705,383",1,"Northern Ireland","MANUFAC"
"5568","Radius Plastics Limited","2017-18","445,345",1,"Great Britain","MANUFAC"
"5569","Enterprise Stationery Ltd","2016-17","134,900",1,"Northern Ireland","MANUFAC"
"5570","Boomer Industries Limited","2016-17","7,822",1,"Northern Ireland","MANUFAC"
"5571","Flexform Ltd","2016-17","2,312",1,"Northern Ireland","MANUFAC"
"5572","Mivan Marine Limited","2016-17","161,788",1,"Northern Ireland","MANUFAC"
"5573","Blockbusters Environmental Services (NI) Limited","2016-17","275,480",7,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5574","William Clark & Sons Limited","2016-17","4,850",1,"Northern Ireland","MANUFAC"
"5575","Silotank","2016-17","80,000",5,"Northern Ireland","MANUFAC"
"5576","Photonic Measurements Limited","2016-17","116,916",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5577","Wichcraftsecure Limited","2016-17","10,000",1,"Northern Ireland","INFO&COMMU"
"5578","Raygar Ltd","2016-17","15,835",1,"Northern Ireland","MANUFAC"
"5579","McCloskey International Limited","2017-18","1,305,106",61,"Canada","MANUFAC"
"5580","Panacea Drinks","2016-17","15,000",2,"Northern Ireland","MANUFAC"
"5581","Supersauce","2016-17","160,832",1,"Northern Ireland","MANUFAC"
"5582","Ruach Music Ltd","2016-17","92,500",4,"Northern Ireland","MANUFAC"
"5583","Island Turf Crafts Limited","2016-17","114,420",4,"Northern Ireland","MANUFAC"
"5584","McIvor Plastics Limited","2016-17","20,296",1,"Northern Ireland","MANUFAC"
"5585","CCO (Int) Ltd","2016-17","187,800",3,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5586","Sixty-5","2016-17","95,764",1,"Northern Ireland","MANUFAC"
"5587","Globeweigh U.K. Ltd","2016-17","70,659",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5588","Displaynote Technologies Limited","2017-18","1,010,835",1,"Northern Ireland","INFO&COMMU"
"5589","Precision Industrial Services Limited","2016-17","214,288",4,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5590","Hawthorn Heights Ltd","2016-17","119,016",3,"Northern Ireland","CONST"
"5591","Solas Pharmaceuticals Ltd","2016-17","168,427",3,"Northern Ireland","OTHERSERVICE"
"5592","Hughes Mushrooms","2016-17","19,978",1,"Northern Ireland","MANUFAC"
"5593","Hughes Mushrooms","2016-17","19,938",1,"Northern Ireland","MANUFAC"
"5594","Unique Garden Products","2016-17","2,120",1,"Northern Ireland","MANUFAC"
"5595","CM Precision Components Ltd","2016-17","19,176",1,"Northern Ireland","MANUFAC"
"5596","Primepac Ltd","2016-17","384,000",5,"Northern Ireland","MANUFAC"
"5597","CE-Tech","2016-17","1,875",1,"Northern Ireland","MANUFAC"
"5598","TheAppBuilder Ltd","2016-17","3,400",1,"Northern Ireland","INFO&COMMU"
"5599","Seven Technologies Holdings Limited","2017-18","1,471,888",21,"Northern Ireland","INFO&COMMU"
"5600","Finn Lough","2016-17","13,920",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5601","Secure Broadcast Ltd","2016-17","3,934",1,"Northern Ireland","INFO&COMMU"
"5602","IMED (NI) Limited","2018-19","149,360",1,"Northern Ireland","MANUFAC"
"5603","Moore Concrete Products Limited","2016-17","98,892",1,"Northern Ireland","MANUFAC"
"5604","Mourne Mountains Brewery","2016-17","2,950",1,"Northern Ireland","MANUFAC"
"5605","Mourne Mountains Brewery","2016-17","4,380",1,"Northern Ireland","MANUFAC"
"5606","Rising Star Designs Ltd","2016-17","268,800",7,"Northern Ireland","MANUFAC"
"5607","FarmFLiX","2016-17","70,551",1,"Northern Ireland","INFO&COMMU"
"5608","Arolco Ireland Limited","2016-17","3,200",1,"Northern Ireland","MANUFAC"
"5609","Craigmore","2016-17","55,660",1,"Northern Ireland","MANUFAC"
"5610","Heatboss","2016-17","1,000",1,"Northern Ireland","MANUFAC"
"5611","S&E Caretrade","2016-17","3,500",1,"Northern Ireland","MANUFAC"
"5612","Mahlatini Travel","2016-17","7,670",1,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5613","John Courtney Tree Surgery Ltd","2016-17","236,350",5,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5614","Tag Performance App Limited","2016-17","33,140",1,"Northern Ireland","INFO&COMMU"
"5615","Bellamoon Limited","2016-17","7,200",1,"Northern Ireland","MANUFAC"
"5616","Craigmore","2016-17","293,000",7,"Northern Ireland","MANUFAC"
"5617","Sensurity Limited","2016-17","150,000",1,"Northern Ireland","INFO&COMMU"
"5618","Adoreboard Limited","2016-17","162,000",1,"Northern Ireland","INFO&COMMU"
"5619","Innov8","2016-17","40,831",1,"Northern Ireland","WHOLESALE&RETAIL"
"5620","Action Renewables","2016-17","8,730",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5621","Crossen Engineering Ltd","2016-17","2,500",1,"Northern Ireland","MANUFAC"
"5622","Derry Precision Tools","2016-17","20,000",1,"Northern Ireland","MANUFAC"
"5623","Apt Innovations Ltd","2016-17","10,800",1,"Northern Ireland","MANUFAC"
"5624","Foyle International Ltd","2016-17","98,092",1,"Northern Ireland","EDUC"
"5625","Copeland Spirits Ltd","2016-17","30,000",2,"Northern Ireland","MANUFAC"
"5626","The Babble Group Limited","2016-17","187,975",8,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5627","Charles O'Doherty & Sons Limited","2016-17","11,700",1,"Northern Ireland","MANUFAC"
"5628","Airpos Limited","2016-17","68,210",2,"Northern Ireland","INFO&COMMU"
"5629","Whyte and Wood","2016-17","168,365",3,"Northern Ireland","MANUFAC"
"5630","L'artisan Foods Limited","2016-17","4,000",1,"Northern Ireland","MANUFAC"
"5631","A1 Solutions (NI) Limited","2016-17","10,400",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5632","Circadian Capital Limited","2016-17","48,753",1,"Northern Ireland","FINANCIAL&INSURANCE"
"5633","Media Design and Print/Media Marketing","2016-17","16,796",1,"Northern Ireland","MANUFAC"
"5634","Precision Processing Services Limited","2016-17","136,110",2,"Northern Ireland","MANUFAC"
"5635","Share Centre","2016-17","96,000",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5636","Breezemount Electrical & Hydraulics Limited","2016-17","15,000",1,"Northern Ireland","CONST"
"5637","Voxbit Ltd.","2016-17","170,000",2,"Northern Ireland","INFO&COMMU"
"5638","Stephen Farnan Studio Ltd","2016-17","8,420",1,"Northern Ireland","MANUFAC"
"5639","Lakeland Computers","2016-17","3,850",1,"Northern Ireland","INFO&COMMU"
"5640","ON Music Limited","2016-17","148,984",1,"Great Britain","INFO&COMMU"
"5641","AM Electrical","2016-17","7,500",1,"Northern Ireland","MANUFAC"
"5642","Sweet Things","2016-17","499,770",14,"Northern Ireland","MANUFAC"
"5643","Uni Baggage Ltd","2016-17","25,000",1,"Northern Ireland","TRANSPORT&STORAGE"
"5644","Glens Of Antrim Potatoes","2016-17","35,000",1,"Northern Ireland","WHOLESALE&RETAIL"
"5645","X-Ray Ireland Ltd","2016-17","105,503",1,"Northern Ireland","HUMAN&SOCIALWORK"
"5646","Yedup Limited","2016-17","73,910",1,"Northern Ireland","INFO&COMMU"
"5647","Derry Precision Tools","2016-17","67,659",1,"Northern Ireland","MANUFAC"
"5648","Fernleaf Systems Limited","2016-17","46,300",1,"Northern Ireland","INFO&COMMU"
"5649","Locate a Locum","2016-17","442,000",8,"Northern Ireland","INFO&COMMU"
"5650","Click Energy","2016-17","63,900",1,"Northern Ireland","ELECTRICITYGAS&AIR"
"5651","Rich Sauces","2016-17","62,525",1,"Northern Ireland","MANUFAC"
"5652","Cocoon Warmfloors","2016-17","240,500",5,"Northern Ireland","MANUFAC"
"5653","Countryside Services Limited","2016-17","150,000",5,"Northern Ireland","AGRI&FORESTRY&FISHING"
"5654","CRS (NI) Ltd","2016-17","19,800",1,"Northern Ireland","MANUFAC"
"5655","Hollander","2016-17","1,325",1,"Northern Ireland","FINANCIAL&INSURANCE"
"5656","Cleantec Equipment Ltd","2017-18","90,400",4,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5657","Cranmore Consulting Limited","2016-17","10,023",1,"Northern Ireland","INFO&COMMU"
"5658","Pip Chemicals","2016-17","48,100",2,"Northern Ireland","MINING&QUERRY"
"5659","Sendmybag.com","2016-17","540,000",11,"Northern Ireland","ADMIN&SUPPORTSERVICE"
"5660","Name cannot be released","2016-17","10,635",1,"Northern Ireland","MANUFAC"
"5661","Big Motive Ltd","2016-17","15,000",1,"Northern Ireland","INFO&COMMU"
"5662","Itssoome Limited","2016-17","5,960",1,"Northern Ireland","WHOLESALE&RETAIL"
"5663","NIICE Ltd","2016-17","90,000",1,"Northern Ireland","INFO&COMMU"
"5664","Hoy & Dorman Ltd","2016-17","9,412",1,"Northern Ireland","PROFESSIONAL&SCI&TECH"
"5665","Sheep Island View Hostel","2017-18","261,404",1,"Northern Ireland","ACCOMODATION&FOODSERVICE"
"5666","Made to Engage","2017-18","2,605,000",39,"Northern Ireland","INFO&COMMU"
"5667","Rademon Estate Distillery Limited","2016-17","4,583",1,"Northern Ireland","MANUFAC"
"5668","Kingspan Group Plc","2016-17","10,866",1,"Irish Republic","MANUFAC"
"5669","Fabplus Limited","2017-18","412,016",1,"Irish Republic","MANUFAC"
"5670","Rising Star Designs Ltd","2016-17","27,500",1,"Northern Ireland","MANUFAC"
