"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"8092","Profile Tree","2018-19","4,410","9,000",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"8093","Rubber & Plastic Products (NI) Ltd","2018-19","8,875","17,750",0,"Northern Ireland","Belfast",22190,"Manufacturing"
"8094","Whyte and Wood","2018-19","42,000","544,510",6,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"8095","The Salthouse Hotel","2018-19","380","760",0,"Northern Ireland","Causeway Coast and Glens",55100,"Accommodation & Food Service Activities"
"8096","Springco (N.I.) Limited","2018-19","98,000","581,514",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",25940,"Manufacturing"
"8097","Apt Innovations Ltd","2018-19","5,255","10,510",0,"Northern Ireland","Lisburn and Castlereagh",27520,"Manufacturing"
"8098","Grade-All International Ltd","2018-19","29,801","101,622",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing"
"8099","Suki Teahouse Limited","2018-19","48,000","607,600",10,"Northern Ireland","Belfast",10831,"Manufacturing"
"8100","Rocklyn Engineering Limited","2018-19","16,657","55,524",0,"Northern Ireland","Lisburn and Castlereagh",32990,"Manufacturing"
"8101","Inish Education Technology Ltd","2018-19","6,000","15,000",0,"Northern Ireland","Lisburn and Castlereagh",58290,"Information & Communication"
"8102","JRL Brick Slip","2018-19","668,306","9,216,760",86,"Great Britain","Lisburn and Castlereagh",25110,"Manufacturing"
"8103","Makematic Ltd","2018-19","46,000","200,000",5,"Northern Ireland","Derry City and Strabane",58210,"Information & Communication"
"8104","Jumpack","2018-19","38,000","190,000",4,"Northern Ireland","Newry, Mourne and Down",93199,"Arts, Entertainment & Recreation"
"8105","Backspindle Games Limited","2018-19","640","1,280",0,"Northern Ireland","Ards and North Down",32409,"Manufacturing"
"8106","Value Stream Machinery Ltd","2018-19","48,000","573,000",8,"Northern Ireland","Belfast",71121,"Professional, Scientific & Technical Activities"
"8107","Amberwell Natural Living","2018-19","3,988","7,975",0,"Northern Ireland","Mid Ulster",47750,"Wholesale & Retail Trade & Repair of Vehicles"
"8108","Veri","2018-19","35,000","162,000",4,"Northern Ireland","Fermanagh and Omagh",62090,"Information & Communication"
"8109","Gas & Controls Ltd","2018-19","2,205","4,500",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"8110","Roundwood Engineering Works Limited","2018-19","8,032","16,064",0,"Northern Ireland","Newry, Mourne and Down",71121,"Professional, Scientific & Technical Activities"
"8111","Edgeways","2018-19","13,000","124,000",2,"Northern Ireland","Armagh City, Banbridge and Craigavon",62012,"Information & Communication"
"8112","Grant Thornton (NI) LLP","2018-19","240,000","4,100,000",48,"Northern Ireland","Belfast",69201,"Professional, Scientific & Technical Activities"
"8113","Countryside Services Limited","2018-19","43,050","143,500",2,"Northern Ireland","Mid Ulster",1629,"Agriculture, Forestry & Fishing"
"8114","Graham","2018-19","29,984","94,100",0,"Northern Ireland","Lisburn and Castlereagh",42990,"Construction"
"8115","Value Stream Machinery Ltd","2018-19","2,940","6,000",0,"Northern Ireland","Belfast",71121,"Professional, Scientific & Technical Activities"
"8116","Rift Apparel Ltd","2018-19","6,360","15,900",0,"Northern Ireland","Lisburn and Castlereagh",47910,"Wholesale & Retail Trade & Repair of Vehicles"
"8117","Quality Timber Frame Services Ltd","2018-19","2,210","4,420",0,"Northern Ireland","Newry, Mourne and Down",41202,"Construction"
