"","business_name","financial_year_of_offer","total_assistance_offered_by_invest_ni","total_investment_includes_investment_ni_assistance","jobs_to_be_created_assisted","country_of_ownership","council_in_which_business_located_when_offer_made","SIC_code_5_digit","SIC_sector"
"1454","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Lisburn and Castlereagh",96090,"Other Service Activities"
"1455","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1456","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1457","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1458","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1459","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1460","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1461","Edgewater Contracts","2014-15","2,307","4,614",0,"Northern Ireland","Mid Ulster",31010,"Manufacturing"
"1462","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1463","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1464","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1465","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1466","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1467","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1468","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1469","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1470","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1471","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1472","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1473","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1474","Believe 3D Printing","2014-15","2,109","8,380",0,"Northern Ireland","Mid Ulster",18129,"Manufacturing"
"1475","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"1476","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1477","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1478","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1479","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1480","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1481","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"1482","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1483","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1484","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",79120,"Admin & Support Service Activities"
"1485","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1486","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"1487","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1488","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1489","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1490","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Causeway Coast and Glens",96090,"Other Service Activities"
"1491","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"1492","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1493","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1494","IOLABS Ltd","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1495","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1496","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1497","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1498","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1499","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1500","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1501","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1502","Puppet","2015-16","129,730","496,730",0,"United States Of America","Belfast",62090,"Information & Communication"
"1503","Phoenix Electrical Services","2014-15","25,000","269,600",5,"Northern Ireland","Mid and East Antrim",43210,"Construction"
"1504","Get Invited Limited","2014-15","14,700","30,000",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1505","Work Rest Play","2014-15","2,100","4,200",0,"Northern Ireland","Belfast",74100,"Professional, Scientific & Technical Activities"
"1506","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1507","The McAvoy Group Ltd","2015-16","134,550","448,503",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing"
"1508","Plotbox","2014-15","4,000","8,163",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"1509","A W Control Systems Ltd","2014-15","7,756","23,594",0,"Northern Ireland","Mid Ulster",26512,"Manufacturing"
"1510","McKenna Precision Engineering Limited","2014-15","11,300","30,965",0,"Northern Ireland","Fermanagh and Omagh",25990,"Manufacturing"
"1511","Finnebrogue Artisan","2014-15","200,000","13,457,578",25,"Northern Ireland","Newry, Mourne and Down",10130,"Manufacturing"
"1512","P2V Systems Limited","2014-15","683","1,365",0,"Northern Ireland","Lisburn and Castlereagh",63990,"Information & Communication"
"1513","Rafferty McGrath & Co","2014-15","3,060","6,120",0,"Northern Ireland","Belfast",63990,"Information & Communication"
"1514","CBD Powerwashers Ltd","2014-15","31,000","89,500",4,"Northern Ireland","Mid Ulster",25300,"Manufacturing"
"1515","Tandragee Mushroom Compost","2014-15","4,000","8,163",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",8920,"Mining & Quarrying"
"1516","United Dairy Farmers Limited","2016-17","242,484","1,077,890",0,"Northern Ireland","Belfast",10510,"Manufacturing"
"1517","Montgomery Food Consulting Limited","2014-15","28,000","260,410",4,"Northern Ireland","Mid Ulster",70229,"Professional, Scientific & Technical Activities"
"1518","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1519","AE Global","2014-15","11,400","88,057",0,"Northern Ireland","Derry City and Strabane",24200,"Manufacturing"
"1520","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid and East Antrim",96090,"Other Service Activities"
"1521","Walter Watson Limited","2014-15","11,600","29,000",1,"Northern Ireland","Newry, Mourne and Down",25110,"Manufacturing"
"1522","Green Roofs Ireland Ltd","2014-15","22,432","29,909",0,"Northern Ireland","Mid and East Antrim",1290,"Agriculture, Forestry & Fishing"
"1523","Envision Intelligent Solutions Limited","2014-15","4,000","8,163",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",62020,"Information & Communication"
"1524","Novosco Ltd","2014-15","14,700","30,000",0,"Northern Ireland","Belfast",62012,"Information & Communication"
"1525","Camlin Limited","2015-16","2,972,848","22,380,800",298,"Northern Ireland","Lisburn and Castlereagh",26511,"Manufacturing"
"1526","Texthelp Ltd.","2014-15","970","1,940",0,"Northern Ireland","Antrim and Newtownabbey",62010,"Information & Communication"
"1527","Name cannot be released","2014-15","15,000","303,500",4,"Northern Ireland","Belfast",64203,"Financial & Insurance Activities"
"1528","Biztech Software","2014-15","26,748","73,704",2,"Northern Ireland","Belfast",62010,"Information & Communication"
"1529","Lignum Interiors","2014-15","1,515","3,030",0,"Northern Ireland","Newry, Mourne and Down",31090,"Manufacturing"
"1530","Walsin Ltd","2014-15","1,225","2,450",0,"Northern Ireland","Lisburn and Castlereagh",71111,"Professional, Scientific & Technical Activities"
"1531","Rapid International Limited","2014-15","4,923","9,846",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",28920,"Manufacturing"
"1532","GM Marketing (Ireland) Limited","2014-15","4,000","8,163",0,"Northern Ireland","Belfast",82990,"Admin & Support Service Activities"
"1533","Savage Pro Nutrition","2014-15","1,520","3,800",0,"Northern Ireland","Mid Ulster",10890,"Manufacturing"
"1534","McLaughlin & Harvey Ltd","2014-15","32,248","80,620",1,"Northern Ireland","Antrim and Newtownabbey",41201,"Construction"
"1535","G Smyth Boats","2014-15","1,600","3,200",0,"Northern Ireland","Newry, Mourne and Down",30120,"Manufacturing"
"1536","Surface First","2014-15","7,000","33,000",1,"Northern Ireland","Causeway Coast and Glens",23310,"Manufacturing"
"1537","Bubblebum Holdings Limited","2014-15","15,294","43,698",0,"Northern Ireland","Derry City and Strabane",30990,"Manufacturing"
"1538","Terex","2015-16","54,098","245,900",0,"United States Of America","Mid Ulster",28920,"Manufacturing"
"1539","Agquip","2014-15","25,911","57,580",0,"Northern Ireland","Causeway Coast and Glens",28302,"Manufacturing"
"1540","Metalcraft Engineering Limited","2014-15","2,200","4,400",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"1541","Metalcraft Engineering Limited","2014-15","1,918","3,835",0,"Northern Ireland","Belfast",71129,"Professional, Scientific & Technical Activities"
"1542","Northern Innovation (N.I.) Ltd","2014-15","43,980","73,300",0,"Northern Ireland","Lisburn and Castlereagh",71121,"Professional, Scientific & Technical Activities"
"1543","Steam & Generation Services (NI) Ltd","2014-15","49,000","292,000",10,"Northern Ireland","Derry City and Strabane",71129,"Professional, Scientific & Technical Activities"
"1544","Europa Valves Limited","2014-15","83,820","190,555",0,"Northern Ireland","Newry, Mourne and Down",28140,"Manufacturing"
"1545","BLK Box","2014-15","4,000","8,163",0,"Northern Ireland","Belfast",93190,"Arts, Entertainment & Recreation"
"1546","P. McDermott and Sons (Omagh) Limited","2014-15","8,387","26,520",0,"Northern Ireland","Fermanagh and Omagh",47910,"Wholesale & Retail Trade & Repair of Vehicles"
"1547","Decora Blind Systems Limited","2014-15","18,657","74,628",0,"Northern Ireland","Lisburn and Castlereagh",13921,"Manufacturing"
"1548","McLaughlin & Harvey Ltd","2014-15","12,500","25,000",0,"Northern Ireland","Antrim and Newtownabbey",41201,"Construction"
"1549","CES Quarry Products Limited","2014-15","36,640","81,422",0,"Northern Ireland","Newry, Mourne and Down",23610,"Manufacturing"
"1550","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1551","Multishower GB Ltd","2014-15","3,125","6,250",0,"Northern Ireland","Derry City and Strabane",32990,"Manufacturing"
"1552","Neu Botanicals","2014-15","250","500",0,"Northern Ireland","Newry, Mourne and Down",21200,"Manufacturing"
"1553","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",43220,"Construction"
"1554","Warmfill.com","2014-15","4,000","8,163",0,"Northern Ireland","Ards and North Down",43290,"Construction"
"1555","Beech Hill Country House Hotel","2014-15","8,034","20,085",0,"Northern Ireland","Derry City and Strabane",55100,"Accommodation & Food Service Activities"
"1556","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1557","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1558","Raemac Interior Systems Ltd","2014-15","1,102","2,250",0,"Northern Ireland","Causeway Coast and Glens",43320,"Construction"
"1559","Jenarront Therapeutics Limited","2014-15","23,588","47,175",0,"Northern Ireland","Belfast",21200,"Manufacturing"
"1560","M & M (Steel Fabrications) Limited","2014-15","817","1,634",0,"Northern Ireland","Newry, Mourne and Down",25990,"Manufacturing"
"1561","Quinnspares (N.I.) Limited","2014-15","30,000","194,000",5,"Northern Ireland","Derry City and Strabane",46439,"Wholesale & Retail Trade & Repair of Vehicles"
"1562","Openwave Mobility Inc","2014-15","893,907","3,102,439",0,"United States of America","Belfast",62010,"Information & Communication"
"1563","Redburn Solutions Ltd","2014-15","5,566","18,592",0,"Northern Ireland","Belfast",62020,"Information & Communication"
"1564","Axis Bioservices Limited","2014-15","43,465","68,992",0,"Northern Ireland","Causeway Coast and Glens",86900,"Human & Social Work Activities"
"1565","Adventure Tours (Int) Limited","2014-15","19,370","239,034",4,"Northern Ireland","Derry City and Strabane",93190,"Arts, Entertainment & Recreation"
"1566","ReActiv Coaching Academy","2014-15","1,500","10,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1567","Bio-Kinetic Europe Limited","2014-15","49,976","124,940",0,"Northern Ireland","Belfast",72100,"Professional, Scientific & Technical Activities"
"1568","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1569","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1570","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1571","Vita Materials","2014-15","28,232","70,580",0,"Irish Republic","Lisburn and Castlereagh",32990,"Manufacturing"
"1572","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1573","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1574","Eyesparks","2014-15","15,000","140,560",3,"Northern Ireland","Belfast",62020,"Information & Communication"
"1575","Textloops.com","2014-15","1,600","3,200",0,"Northern Ireland","Newry, Mourne and Down",62020,"Information & Communication"
"1576","Steelworx Ltd","2014-15","25,000","290,800",5,"Northern Ireland","Armagh City, Banbridge and Craigavon",25620,"Manufacturing"
"1577","East Coast Seafood","2014-15","49,715","81,500",0,"Northern Ireland","Newry, Mourne and Down",10200,"Manufacturing"
"1578","Enterprise Stationery Ltd","2014-15","32,690","72,645",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",17290,"Manufacturing"
"1579","Norbev Limited","2014-15","25,000","76,000",0,"Northern Ireland","Mid and East Antrim",11070,"Manufacturing"
"1580","Smyson Solutions Limited","2014-15","3,773","7,700",0,"Northern Ireland","Belfast",63990,"Information & Communication"
"1581","Green Roofs Ireland Ltd","2014-15","9,588","23,970",0,"Northern Ireland","Mid and East Antrim",1290,"Agriculture, Forestry & Fishing"
"1582","Moyola Precision Engineering Limited","2014-15","34,436","93,590",0,"Northern Ireland","Mid Ulster",25620,"Manufacturing"
"1583","Hair Box Ltd","2014-15","3,000","20,000",0,"Northern Ireland","Ards and North Down",82990,"Admin & Support Service Activities"
"1584","Michael Herron Architects","2014-15","47,788","63,717",0,"Northern Ireland","Mid Ulster",71129,"Professional, Scientific & Technical Activities"
"1585","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1586","Lucid Interactive Limited","2014-15","126,312","397,263",0,"Northern Ireland","Derry City and Strabane",63110,"Information & Communication"
"1587","Listo Limited","2014-15","18,284","42,520",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",32990,"Manufacturing"
"1588","Hillhead Engineering","2014-15","900","1,800",0,"Northern Ireland","Fermanagh and Omagh",28922,"Manufacturing"
"1589","Beechill Landscapes","2014-15","20,000","208,700",5,"Northern Ireland","Lisburn and Castlereagh",1130,"Agriculture, Forestry & Fishing"
"1590","Mount Fabrication","2014-15","2,700","5,400",0,"Northern Ireland","Derry City and Strabane",25990,"Manufacturing"
"1591","Mount Fabrication","2014-15","2,575","5,150",0,"Northern Ireland","Derry City and Strabane",25990,"Manufacturing"
"1592","Mount Fabrication","2014-15","1,543","3,086",0,"Northern Ireland","Derry City and Strabane",25990,"Manufacturing"
"1593","BMI Trailers Limited","2014-15","35,000","210,000",7,"Northern Ireland","Mid Ulster",29202,"Manufacturing"
"1594","Countryside Services Limited","2014-15","5,000","10,000",0,"Northern Ireland","Mid Ulster",1629,"Agriculture, Forestry & Fishing"
"1595","Fleming Agri-Products Limited","2014-15","45,000","582,000",15,"Northern Ireland","Derry City and Strabane",28302,"Manufacturing"
"1596","Fleming Agri-Products Limited","2014-15","54,092","406,570",0,"Northern Ireland","Derry City and Strabane",28302,"Manufacturing"
"1597","Rekkur (NI) Limited","2014-15","14,700","30,000",0,"Northern Ireland","Fermanagh and Omagh",22230,"Manufacturing"
"1598","Industrial Precision Components Ltd","2014-15","3,920","8,000",0,"Northern Ireland","Mid and East Antrim",22290,"Manufacturing"
"1599","Scott Vanguard Limited","2014-15","2,400","6,000",0,"Northern Ireland","Lisburn and Castlereagh",77210,"Admin & Support Service Activities"
"1600","M. Clarke & Sons Contracts Limited","2014-15","49,000","494,000",7,"Northern Ireland","Mid and East Antrim",43290,"Construction"
"1601","Keystone Lintels Limited","2015-16","48,938","1,163,325",0,"Northern Ireland","Mid Ulster",25110,"Manufacturing"
"1602","Name cannot be released","2014-15","1,500","10,000",0,"Northern Ireland","Mid Ulster",96090,"Other Service Activities"
"1603","Electrical World Limited","2014-15","27,000","200,000",6,"Northern Ireland","Fermanagh and Omagh",26110,"Manufacturing"
"1604","Lagan Cement Products Limited","2014-15","4,900","10,000",0,"Northern Ireland","Lisburn and Castlereagh",23610,"Manufacturing"
"1605","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1606","Surface First","2014-15","1,597","3,194",0,"Northern Ireland","Causeway Coast and Glens",23310,"Manufacturing"
"1607","Antrim Hills Spring Water Company Limited","2014-15","5,000","10,200",0,"Northern Ireland","Antrim and Newtownabbey",11070,"Manufacturing"
"1608","Asbestos Control Services","2014-15","10,000","23,490",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1609","N. K. Fencing Limited","2014-15","793","1,586",0,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"1610","Sea Source","2014-15","3,100","6,200",0,"Northern Ireland","Newry, Mourne and Down",71129,"Professional, Scientific & Technical Activities"
"1611","Plotbox","2014-15","1,200","2,400",0,"Northern Ireland","Mid and East Antrim",82990,"Admin & Support Service Activities"
"1612","McGirr Engineering Ltd","2014-15","17,120","42,800",0,"Northern Ireland","Fermanagh and Omagh",28220,"Manufacturing"
"1613","Kilkeel Seafoods Ltd","2015-16","38,244","109,269",0,"Great Britain","Newry, Mourne and Down",10200,"Manufacturing"
"1614","Glenbio Ltd","2014-15","49,000","412,850",5,"Northern Ireland","Mid Ulster",20590,"Manufacturing"
"1615","Colorite Europe Limited","2014-15","347,928","1,626,200",0,"United States of America","Belfast",20160,"Manufacturing"
"1616","WD Meats","2014-15","49,350","147,135",2,"Northern Ireland","Causeway Coast and Glens",10110,"Manufacturing"
"1617","Wallline Limited","2014-15","3,075","6,150",0,"Northern Ireland","Fermanagh and Omagh",96090,"Other Service Activities"
"1618","Fire Genie (UK) LTD","2014-15","2,925","11,700",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",32990,"Manufacturing"
"1619","T.S. Foods Limited","2014-15","523","1,046",0,"Northern Ireland","Newry, Mourne and Down",10850,"Manufacturing"
"1620","Pneutrol International Limited","2014-15","1,750","3,500",0,"Northern Ireland","Antrim and Newtownabbey",28290,"Manufacturing"
"1621","Belmore Court Motel","2014-15","1,760","4,400",0,"Northern Ireland","Fermanagh and Omagh",55209,"Accommodation & Food Service Activities"
"1622","1To1Music Ltd","2014-15","1,200","3,000",0,"Northern Ireland","Lisburn and Castlereagh",47591,"Wholesale & Retail Trade & Repair of Vehicles"
"1623","Bailies Coffee Co. Ltd","2014-15","36,088","120,400",0,"Northern Ireland","Belfast",10830,"Manufacturing"
"1624","Fish Producers Offshore Services (NI) Limited","2014-15","1,925","3,850",0,"Northern Ireland","Ards and North Down",71129,"Professional, Scientific & Technical Activities"
"1625","O'Neills Irish International Sports Company Limited","2014-15","61,333","332,583",0,"Irish Republic","Derry City and Strabane",14190,"Manufacturing"
"1626","Surface First","2014-15","620","1,240",0,"Northern Ireland","Causeway Coast and Glens",23310,"Manufacturing"
"1627","InstaGiv Limited","2014-15","25,000","232,750",4,"Northern Ireland","Causeway Coast and Glens",61900,"Information & Communication"
"1628","PIPS","2014-15","2,874","9,581",0,"Northern Ireland","Belfast",87200,"Human & Social Work Activities"
"1629","Ryobi Aluminium Casting (UK), Limited","2014-15","0","577,415",0,"Japan","Mid and East Antrim",24540,"Manufacturing"
"1630","Powercrane","2014-15","2,190","4,380",0,"Northern Ireland","Fermanagh and Omagh",42990,"Construction"
"1631","Bradfor Limited","2014-15","3,920","8,000",0,"Northern Ireland","Newry, Mourne and Down",13960,"Manufacturing"
"1632","Pinnacle Response Ltd","2014-15","7,350","15,000",0,"Northern Ireland","Belfast",80200,"Admin & Support Service Activities"
"1633","Maximus Crushing & Screening Ltd","2014-15","450,000","11,263,000",57,"Northern Ireland","Mid Ulster",28920,"Manufacturing"
"1634","ATBEC Ltd","2014-15","10,000","74,000",2,"Northern Ireland","Fermanagh and Omagh",70229,"Professional, Scientific & Technical Activities"
"1635","Traktronic Limited","2014-15","41,668","104,170",0,"Northern Ireland","Antrim and Newtownabbey",28920,"Manufacturing"
"1636","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1637","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1638","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1639","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1640","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1641","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1642","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1643","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1644","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",96090,"Other Service Activities"
"1645","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1646","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1647","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1648","Glenshane Fresh Farm Eggs Limited","2014-15","4,000","8,163",0,"Northern Ireland","Mid Ulster",1470,"Agriculture, Forestry & Fishing"
"1649","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1650","Woodland Kitchens (N.I.) Limited","2015-16","115,675","396,920",0,"Northern Ireland","Causeway Coast and Glens",31020,"Manufacturing"
"1651","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1652","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Antrim and Newtownabbey",96090,"Other Service Activities"
"1653","CK International Limited","2015-16","30,371","97,860",0,"Northern Ireland","Mid Ulster",28220,"Manufacturing"
"1654","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Newry, Mourne and Down",96090,"Other Service Activities"
"1655","Causeway Geotech Limited","2014-15","16,844","46,915",0,"Northern Ireland","Causeway Coast and Glens",71129,"Professional, Scientific & Technical Activities"
"1656","Sonet Communications","2014-15","7,350","15,000",0,"Northern Ireland","Lisburn and Castlereagh",61100,"Information & Communication"
"1657","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1658","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1659","Name cannot be released","2014-15","1,000","36,000",0,"Northern Ireland","Belfast",96090,"Other Service Activities"
"1660","KR Annett Handling Solutions","2014-15","2,350","4,700",0,"Northern Ireland","Newry, Mourne and Down",25620,"Manufacturing"
"1661","Apt Innovations Ltd","2014-15","5,000","11,000",0,"Northern Ireland","Lisburn and Castlereagh",27520,"Manufacturing"
"1662","CV6 Therapeutics (NI) Limited","2014-15","1,923,253","3,862,431",10,"United States of America","Belfast",72110,"Professional, Scientific & Technical Activities"
"1663","Hudson Trailers","2014-15","1,500","3,000",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",29202,"Manufacturing"
"1664","Eyespyfx Limited","2014-15","7,426","14,851",0,"Northern Ireland","Derry City and Strabane",62012,"Information & Communication"
"1665","Giffin Hughes Surveyors Limited","2014-15","2,775","5,550",0,"Northern Ireland","Armagh City, Banbridge and Craigavon",74902,"Professional, Scientific & Technical Activities"
"1666","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1667","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1668","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1669","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1670","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1671","Flossie's Fudge","2014-15","493","986",0,"Northern Ireland","Derry City and Strabane",10821,"Manufacturing"
"1672","N. K. Fencing Limited","2014-15","2,000","4,000",0,"Northern Ireland","Mid and East Antrim",32990,"Manufacturing"
"1673","Solas Pharmaceuticals Ltd","2014-15","4,000","8,163",0,"Northern Ireland","Derry City and Strabane",96040,"Other Service Activities"
"1674","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1675","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1676","TixMe","2014-15","1,000","45,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1677","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1678","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
"1679","Waste Systems Ltd","2014-15","99,286","330,953",0,"Northern Ireland","Derry City and Strabane",28920,"Manufacturing"
"1680","Name cannot be released","2014-15","1,000","9,000",0,"Northern Ireland","Derry City and Strabane",96090,"Other Service Activities"
